ticker_id,IPO_date,ticker_type
2020,1993-04-27,上市
2022,1995-03-27,上市
2023,1995-07-28,上市
2024,1995-12-30,上市
2025,1996-02-08,上市
2027,1996-10-24,上市
2028,1996-12-13,上市
2029,1997-01-11,上市
2030,1998-12-24,上市
2031,2000-09-11,上市
2032,2000-09-11,上市
2033,2000-09-11,上市
2034,2001-09-17,上市
2038,2008-12-30,上市
2049,2009-06-26,上市
2059,2008-06-25,上市
2062,2007-11-16,上市
2069,2016-03-22,上市
2101,1963-11-01,上市
2102,1979-07-16,上市
2103,1982-09-25,上市
2104,1986-07-15,上市
2105,1987-12-07,上市
2106,1990-12-20,上市
2107,1992-03-03,上市
2108,1992-10-27,上市
2109,2000-05-08,上市
2114,2010-12-29,上市
2115,2013-12-25,上市
2201,1976-07-08,上市
2204,1991-03-12,上市
2206,1996-07-29,上市
2207,1997-02-25,上市
2208,2008-12-22,上市
2227,2004-12-21,上市
2228,2013-11-25,上市
2231,2010-11-19,上市
2233,2019-09-17,上市
2236,2015-06-03,上市
2239,2016-01-27,上市
2243,2017-09-27,上市
2301,1995-11-17,上市
2302,1985-01-15,上市
2303,1985-07-16,上市
2305,1988-10-21,上市
2308,1988-12-19,上市
2312,1989-11-07,上市
2313,1990-07-24,上市
2314,1990-08-08,上市
2316,1991-02-05,上市
2317,1991-06-18,上市
2321,1991-11-08,上市
2323,1992-02-17,上市
2324,1992-02-18,上市
2327,1993-10-22,上市
2328,1993-11-09,上市
2329,1994-04-20,上市
2330,1994-09-05,上市
2331,1994-09-21,上市
2332,1994-10-17,上市
2337,1995-03-15,上市
2338,1995-04-17,上市
2340,1995-05-02,上市
2342,1995-09-19,上市
2344,1995-10-18,上市
2345,1995-11-15,上市
2347,1995-12-13,上市
2348,1996-01-05,上市
2349,1996-04-23,上市
2351,1996-04-25,上市
2352,1996-07-22,上市
2353,1996-09-18,上市
2354,1996-10-08,上市
2355,1996-10-14,上市
2356,1996-11-13,上市
2357,1996-11-14,上市
2358,1996-12-18,上市
2359,1996-12-19,上市
2360,1996-12-21,上市
2362,1997-04-02,上市
2363,1997-08-01,上市
2364,1997-08-11,上市
2365,1997-11-03,上市
2367,1997-12-13,上市
2368,1998-03-09,上市
2369,1998-04-10,上市
2371,1962-02-09,上市
2373,1991-08-01,上市
2374,1995-01-16,上市
2375,1998-08-29,上市
2376,1998-09-24,上市
2377,1998-10-31,上市
2379,1998-10-26,上市
2380,1998-12-03,上市
2382,1999-01-08,上市
2383,1998-11-27,上市
2385,1999-01-05,上市
2387,1999-01-25,上市
2388,1999-03-05,上市
2390,1999-06-15,上市
2392,1999-09-20,上市
2393,1999-11-04,上市
2395,1999-12-13,上市
2397,2000-01-15,上市
2399,1999-12-16,上市
2401,2000-01-27,上市
2402,2000-01-14,上市
2404,2000-03-14,上市
2405,2000-03-17,上市
2406,2000-04-29,上市
2408,2000-08-17,上市
2409,2000-09-08,上市
2412,2000-10-27,上市
2413,2000-09-11,上市
2414,2000-09-11,上市
2415,2000-09-11,上市
2417,2000-09-11,上市
2419,2000-09-11,上市
2420,2000-09-11,上市
2421,2000-09-11,上市
2423,2000-09-11,上市
2424,2000-09-11,上市
2425,2000-09-11,上市
2426,2000-09-11,上市
2427,2000-09-11,上市
2428,2000-09-11,上市
2429,2000-09-11,上市
2430,2000-09-11,上市
2431,2000-09-11,上市
2433,2000-09-11,上市
2434,2000-09-11,上市
2436,2000-09-11,上市
2438,2000-09-11,上市
2439,2000-09-11,上市
2440,2000-11-10,上市
2441,2000-10-26,上市
2442,2000-11-22,上市
2443,2001-01-03,上市
2444,2000-12-08,上市
2448,2001-05-25,上市
2449,2001-05-09,上市
2450,2001-05-24,上市
2451,2001-05-03,上市
2453,2001-05-22,上市
2454,2001-07-23,上市
2455,2002-01-24,上市
2456,2001-09-26,上市
2457,2001-09-17,上市
2458,2001-09-17,上市
2459,2001-09-17,上市
2460,2001-09-17,上市
2461,2001-09-17,上市
2462,2001-09-17,上市
2464,2001-09-17,上市
2465,2001-09-19,上市
2466,2001-09-17,上市
2467,2001-09-17,上市
2468,2001-09-17,上市
2471,2001-09-17,上市
2472,2001-09-17,上市
2474,2001-09-17,上市
2476,2001-09-17,上市
2477,2001-09-17,上市
2478,2001-09-17,上市
2480,2001-09-17,上市
2481,2001-09-17,上市
2482,2001-09-17,上市
2483,2001-09-17,上市
2484,2001-09-17,上市
2485,2001-09-17,上市
2486,2001-09-19,上市
2488,2001-09-17,上市
2489,2001-09-17,上市
2491,2001-09-17,上市
2492,2001-09-17,上市
2493,2002-01-23,上市
2495,2002-03-25,上市
2496,2002-03-08,上市
2497,2002-02-04,上市
2498,2002-03-26,上市
2499,2002-02-19,上市
2501,1967-10-28,上市
2504,1978-03-14,上市
2505,1979-11-14,上市
2506,1980-02-02,上市
2509,1988-05-20,上市
2511,1991-04-24,上市
2514,1992-09-26,上市
2515,1993-03-02,上市
2516,1993-05-25,上市
2520,1993-10-27,上市
2524,1994-10-18,上市
2527,1995-03-06,上市
2528,1995-03-10,上市
2530,1995-10-12,上市
2534,1996-02-12,上市
2535,1996-03-11,上市
2536,1996-03-14,上市
2537,1996-09-06,上市
2538,1996-11-01,上市
2539,1997-07-16,上市
2540,1989-12-26,上市
2542,1999-05-03,上市
2543,1999-10-15,上市
2545,2000-09-11,上市
2546,2000-09-11,上市
2547,2000-12-22,上市
2548,2002-08-26,上市
2597,2010-03-26,上市
2601,1965-11-04,上市
2603,1987-09-21,上市
2605,1989-12-08,上市
2606,1990-12-08,上市
2607,1990-12-14,上市
2608,1990-12-20,上市
2609,1992-04-20,上市
2610,1993-02-26,上市
2611,1993-10-28,上市
2612,1994-10-20,上市
2613,1995-01-20,上市
2614,1995-09-23,上市
2615,1996-05-16,上市
2616,1997-11-08,上市
2617,1998-06-24,上市
2618,2001-09-17,上市
2630,2018-02-22,上市
2633,2016-10-27,上市
2634,2014-08-25,上市
2636,2016-12-22,上市
2637,2010-12-01,上市
2642,2013-12-12,上市
2701,1965-03-22,上市
2702,1965-02-14,上市
2704,1982-11-10,上市
2705,1988-12-24,上市
2706,1991-06-25,上市
2707,1998-03-09,上市
2712,2013-12-03,上市
2722,2012-03-14,上市
2723,2010-11-22,上市
2727,2012-03-06,上市
2731,2013-09-24,上市
2739,2016-05-19,上市
2748,2016-11-23,上市
2801,1962-02-15,上市
2809,1983-07-20,上市
2812,1984-05-15,上市
2816,1992-05-05,上市
2820,1994-10-26,上市
2823,1995-02-08,上市
2832,1997-09-30,上市
2834,1998-01-03,上市
2836,1998-05-18,上市
2838,1998-06-29,上市
2841,1999-01-08,上市
2845,1998-11-27,上市
2849,1999-09-27,上市
2850,2000-05-22,上市
2851,2000-07-06,上市
2852,2000-11-28,上市
2855,2002-09-16,上市
2867,2012-12-18,上市
2880,2001-12-19,上市
2881,2001-12-19,上市
2882,2001-12-31,上市
2883,2001-12-28,上市
2884,2002-01-28,上市
2885,2002-02-04,上市
2886,2002-02-04,上市
2887,2002-02-18,上市
2888,2002-02-19,上市
2889,2002-03-26,上市
2890,2002-05-09,上市
2891,2002-05-17,上市
2892,2003-01-02,上市
2897,2017-05-05,上市
2901,1976-05-07,上市
2903,1978-10-11,上市
2904,1983-01-05,上市
2905,1988-09-19,上市
2906,1989-12-26,上市
2908,1993-02-18,上市
2910,1996-12-30,上市
2911,1997-01-18,上市
2912,1997-08-22,上市
2913,1962-02-09,上市
2915,1977-07-20,上市
2923,2012-12-07,上市
2929,2013-12-30,上市
2936,2016-09-26,上市
2939,2018-01-11,上市
3002,2002-01-23,上市
3003,2002-02-19,上市
3004,2002-02-25,上市
