date,open,high,low,close,adj_close,volume,dividend,stock split
2007-12-31,61.45,61.7,61.05,61.45,49.38,2870000.0,0.0,0
2008-01-02,60.1,61.3,60.0,60.1,48.29,4975000.0,0.0,0
2008-01-03,59.1,59.35,58.6,59.1,47.49,7413000.0,0.0,0
2008-01-04,59.1,59.35,58.05,59.1,47.49,7686000.0,0.0,0
2008-01-07,56.4,57.6,56.3,56.4,45.32,20041000.0,0.0,0
2008-01-08,56.95,57.3,56.45,56.95,45.76,8722000.0,0.0,0
2008-01-09,58.0,58.0,55.9,58.0,46.61,7480000.0,0.0,0
2008-01-10,57.9,58.6,57.9,57.9,46.53,10311000.0,0.0,0
2008-01-11,57.65,58.5,57.45,57.65,46.32,10135000.0,0.0,0
2008-01-14,58.8,59.15,58.1,58.8,47.25,12103000.0,0.0,0
2008-01-15,61.05,61.55,59.4,61.05,49.06,22177000.0,0.0,0
2008-01-16,58.4,59.75,58.4,58.4,46.93,19193000.0,0.0,0
2008-01-17,58.15,59.0,57.35,58.15,46.73,8915000.0,0.0,0
2008-01-18,58.5,58.5,56.35,58.5,47.01,13973000.0,0.0,0
2008-01-21,57.7,58.25,57.55,57.7,46.37,5570000.0,0.0,0
2008-01-22,53.7,55.05,53.7,53.7,43.15,29372000.0,0.0,0
2008-01-23,53.6,54.85,53.4,53.6,43.07,14849000.0,0.0,0
2008-01-24,55.0,55.3,53.8,55.0,44.2,14820000.0,0.0,0
2008-01-25,56.4,56.4,55.6,56.4,45.32,9858000.0,0.0,0
2008-01-28,54.6,55.9,54.5,54.6,43.87,6879000.0,0.0,0
2008-01-29,55.1,55.3,54.4,55.1,44.28,4122000.0,0.0,0
2008-01-30,54.95,55.8,54.75,54.95,44.16,5995000.0,0.0,0
2008-01-31,54.95,55.25,54.2,54.95,44.16,5214000.0,0.0,0
2008-02-01,56.4,56.6,55.2,56.4,45.32,8780000.0,0.0,0
2008-02-12,54.95,55.8,54.85,54.95,44.16,5988000.0,0.0,0
2008-02-13,54.8,55.6,54.7,54.8,44.03,6310000.0,0.0,0
